"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6r6dA61ekArEqWHihOOQTL","As Aventuras de Severino Entre o Céu e a Terra","spotify:artist:7yBw5Gop5rnOxZlkMalRx0, spotify:artist:4jOwrfraGPyTjmSBMZkzFk","Digo Maransaldi, Jangadeiro","spotify:album:0Cg1WbkjnHPNdsGS0ahUBc","As Aventuras de Severino Entre o Céu e a Terra","spotify:artist:7yBw5Gop5rnOxZlkMalRx0","Digo Maransaldi","2020-11-14","https://i.scdn.co/image/ab67616d0000b27330e85dcea28513871a34d3ce","1","1","207800","https://p.scdn.co/mp3-preview/ef4885416b0ff024b8ef967c4a11d17b250d5310?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","BR2R42000002","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:4dHx7k7LyT8WCRqM8ixkf9","Times Fruits","spotify:artist:397f86EukZ0rjnR5FWq0HQ","Brazilian Lounge Project","spotify:album:6NUgqpq1Ml1Qkaig1NekWm","Refugio de Relajación Serena","spotify:artist:397f86EukZ0rjnR5FWq0HQ","Brazilian Lounge Project","2024-04-01","https://i.scdn.co/image/ab67616d0000b273909a8a37f2d9c7282e5488b3","1","34","110706","","false","0","GBPS85671887","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:49IUVQn4LMZ2nPdtiV9DBw","Joe Blow Me","spotify:artist:46H4AJFPegPcr5UijdAIHf, spotify:artist:3KxkBs8ZWcb9RGxZvlPyIz, spotify:artist:11y4Pn97050NAw3Os3JdM7, spotify:artist:6LDdxEGYDHAL81x5ll9vms, spotify:artist:0t3vyh6h896NxFu5MzNj8C","Dj Red Zulu, Krissy Comstock, Bennett Jacoby, Osvaldo Cabrera, Ciara Keener","spotify:album:5Ys4bMB7n2N9dhetqinOr4","The Wave","spotify:artist:46H4AJFPegPcr5UijdAIHf","Dj Red Zulu","2000","https://i.scdn.co/image/ab67616d0000b273da6d2301ad99a14b01f91a82","1","10","72937","","false","0","QZ22B1768643","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:1UROmmH4P04AzvWvhmBqzw","Goin' Places","spotify:artist:2SUDOXo7Ysf0FqkzcZ04il, spotify:artist:1pvw3ghHNTIvuUhzB2SpN2","King Ali, Willo The'Apakkid","spotify:album:4mePcb9zlaDMFF79LCHToV","Asemoon","spotify:artist:2SUDOXo7Ysf0FqkzcZ04il, spotify:artist:1pvw3ghHNTIvuUhzB2SpN2","King Ali, Willo The'Apakkid","2015-09-02","https://i.scdn.co/image/ab67616d0000b27324310b140b799d97c8473a90","1","4","211791","","false","0","TCACI1511034","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:3Ki8Iko5jcTyDKG3f2AD1F","Nobody Else but Me","spotify:artist:1HMOlfBc4CK1WXcIeNnLPq","Kamakshi Khanna","spotify:album:236VcQ4MUBACB6Xu1UDFdt","Much Mellow","spotify:artist:1HMOlfBc4CK1WXcIeNnLPq","Kamakshi Khanna","2014-12-27","https://i.scdn.co/image/ab67616d0000b2736019f64b8180b580f99b4d35","1","3","227290","https://p.scdn.co/mp3-preview/6e9b59b3003178adee2928f145411031d1d156c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","INO131300751","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:41KR9jZZxTrRbMzkdV5QnF","Ring Around Ya","spotify:artist:6yyfzjzUfrkTVoLch7fgug","Juice Box Beats","spotify:album:7HW04B9O75vXnWoykFaIjb","The Lab (Instrumentals)","spotify:artist:6yyfzjzUfrkTVoLch7fgug","Juice Box Beats","2011-12-25","https://i.scdn.co/image/ab67616d0000b2731d78f5c8645ba39f407c55bd","1","22","194168","","false","0","USQY51223053","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:4SNVQzSz9vzDzF5nw6WEkV","Coffee & Candy","spotify:artist:4tufwSlyCt6bIEXW3nimpH","Red Emerald","spotify:album:1zHYGYMSfo42pghaGgOmm0","Luxurious Sunday BGM","spotify:artist:4tufwSlyCt6bIEXW3nimpH","Red Emerald","2023-07-03","https://i.scdn.co/image/ab67616d0000b273b6d1d0bad1ffbbc5f613e645","1","7","121515","https://p.scdn.co/mp3-preview/7d3cb543740b7acbe9e0538d2924825db6ecbb22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","HKC371753109","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:5vgmJWrHffSAhmrZJrtwiy","Real G's","spotify:artist:0YP1tYeD3imTohO9uwRz9f","Daamij","spotify:album:3nDHdshjDPXosR0exNQSNT","Real G's","spotify:artist:0YP1tYeD3imTohO9uwRz9f","Daamij","2022-01-14","https://i.scdn.co/image/ab67616d0000b273b8ca7f0a92fddafa1a1ff7b7","1","1","193004","https://p.scdn.co/mp3-preview/0a23298c5617fee694565495a64ce2de44c080ff?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","QZPYN2200006","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:3V51te3TM2tuVsqwjMZUQZ","Amor","spotify:artist:4YAgnjzwmzMWdUtfiSot1X","The Tributes","spotify:album:3mdPdLcOFZ5Mn8vhyKLQhW","A Tribute to Julio Iglesias Vol. II","spotify:artist:4YAgnjzwmzMWdUtfiSot1X","The Tributes","2011-09-01","https://i.scdn.co/image/ab67616d0000b27397eca2d370e2d09154bd55ba","1","1","245200","https://p.scdn.co/mp3-preview/cb0eaaa49ca4f6cd6c705b684df0a3208f7259ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ES8620906901","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:34OdtQIqQ8uV6pSinf2Fx3","Lethal Doses","spotify:artist:1FwjJD2mhWPpr3sERkRGv5","Serafin Sepulveda","spotify:album:5ZI0g5IhZa2cerI4hOGimZ","Lethal Doses","spotify:artist:1FwjJD2mhWPpr3sERkRGv5","Serafin Sepulveda","2023-03-25","https://i.scdn.co/image/ab67616d0000b2736e69edd4c8747233e685e173","1","3","276446","","false","0","USJ3V2308969","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:6m7AT5uTGSOEvEuSyn60Li","Supernova Serenity","spotify:artist:0D5AulQI5M9nd6PRpjzpZ7","Cosmic Entities","spotify:album:2La5bLZmwPP71dsk7fVk7j","Cosmic Journey","spotify:artist:0D5AulQI5M9nd6PRpjzpZ7","Cosmic Entities","2023-09-13","https://i.scdn.co/image/ab67616d0000b27305d59a9ed0434fd9c65436d1","1","10","60631","","false","0","CAENV2338172","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:0aTXzYzyRQQn0lRzgm5uMv","Rehersal Track 09","spotify:artist:258Dm9AVtfbZA1w7gnEtzq, spotify:artist:5GGPSBCHRJQJ1Oc2pJW9YD, spotify:artist:5eTC1gINu2Nglgw3JNlzpd","Kim Mitzo Thompson, Glodilocks, The Three Bears","spotify:album:6uSowimRQNaujpslVeWu7e","Preschool Musical (feat. Glodilocks, the Three Bears)","spotify:artist:258Dm9AVtfbZA1w7gnEtzq","Kim Mitzo Thompson","2013-01-15","https://i.scdn.co/image/ab67616d0000b273a17ee58486930caa812113e4","1","9","42678","https://p.scdn.co/mp3-preview/3056a7fea2c76bc7593760f050077842da7fb1be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR6V81550822","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:5hkrkEXqwqTwLEbxCiLuGY","너는 하나님의 형상 (inst.)","spotify:artist:4o5BRdnkpCXhxVyLsDJNvc","Choi byung hun","spotify:album:32JjFN1XA41DproBtx92Tf","너는 하나님의 형상","spotify:artist:4o5BRdnkpCXhxVyLsDJNvc","Choi byung hun","2021-01-25","https://i.scdn.co/image/ab67616d0000b273f5a58d0c5a7ca85b8e6c2435","1","2","176810","https://p.scdn.co/mp3-preview/c9dc84945f6a5616cb4510889c31ef5d8498bfcf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRMIM2102369","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:4V7aSBkqYDZLVsFgoxCUod","Kush Cloud (feat. the Yung'n Lee & Jai Swift)","spotify:artist:6Meq5V0TjhaQC7tBqprIrM, spotify:artist:3K4nrHKoI07m8R6CpqYwAE, spotify:artist:0dVAnZ3ERAcoFJqnt2XRFG","Samsin, The Yung'n Lee, Jai Swift","spotify:album:0On4x1gdggUIJZKS36jW16","Samsin's Box of Chocolates","spotify:artist:6Meq5V0TjhaQC7tBqprIrM","Samsin","2014-03-02","https://i.scdn.co/image/ab67616d0000b2737b8096b21fd3f79e97902bad","1","12","297875","","true","0","TCABU1456609","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:2CgozgvVqDUtj8d4S49DpX","Chilena los dos fuimos culpable","spotify:artist:1n0vc6WDIweQolbK3qw8K2","Gelacio y la promesa de oaxaca","spotify:album:1qg1lFZV4xeHoUrpRmUnPY","La chica sonriente","spotify:artist:1n0vc6WDIweQolbK3qw8K2","Gelacio y la promesa de oaxaca","2023-07-07","https://i.scdn.co/image/ab67616d0000b273835b0dc716223fb133d1734c","1","14","289877","","false","0","QZNWS2333246","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:1mgJjUSE0FBn9NqLTk3U6I","On The Hustle","spotify:artist:5lUJxGxTTkeRC5xAouxIe4","Cali Agents","spotify:album:06WmolGUQWIsiuaF3RHDsU","20,000 Leagues Under The Streets: Volume 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-04-26","https://i.scdn.co/image/ab67616d0000b273a5bd26d9cce3ad7366965bb5","1","12","254666","https://p.scdn.co/mp3-preview/16423eed8fb467821c7dae08b1cd0390ab395dec?cid=9950ac751e34487dbbe027c4fd7f8e99","true","6","USUYG1006881","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:2G7z1uvEugKRyn3Zv2qahf","Ты не одна","spotify:artist:6pb3GAp6GhAjExZtlW2U7C","Andrey Waismann","spotify:album:1FZ0FohkijqObvBl60f9KD","Ты не одна","spotify:artist:6pb3GAp6GhAjExZtlW2U7C","Andrey Waismann","2023-01-11","https://i.scdn.co/image/ab67616d0000b273afe9cfa727939ce2d8503965","1","1","217968","https://p.scdn.co/mp3-preview/bad4aed85b745d07a99081cc4317d7288e6c93e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCAGT2314869","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
